feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,label
1.1661025,0.1774974,0.0,0.0,0.0,0.9982122,0.0,1.3633388,1.0895337,0.8481118,0.7246154,0.0,0.6731838,0.5896133,0.0,0.0,1.0120785,0.67718625,0.0,0.0,1.1740434,0.0,0.30794173,0.9845567,0.19831292,0.0,0.0,1.3400729,0.0,0.0,0.97936636,0.20955037,0.96189255,0.0,0.0,1.5644486,0.9762069,0.0,0.0,0.99620306,1.3616621,0.14319329,1.0038363,1.4186307,0.0,1.1886818,0.0,0.8382486,0.712712,0.0,1.1331822,0.5870799,0.0,0.60565037,1.4067234,0.0,0.61500716,1.0244973,1.3643779,0.0,0.0,0.95484465,1.210192,0.0,0
0.0,0.0,3.917594,1.8761963,0.0,0.0,2.7396235,0.0,0.0,0.0,0.0,3.5467842,0.0,0.0,3.4023712,2.7501364,0.0,0.0,2.8549075,3.804497,0.0,2.6962411,0.0,0.0,3.84213,3.2913082,4.401131,0.0,3.4335628,2.9181533,0.0,2.5654116,0.0,5.62203,3.3333223,0.0,0.0,3.026188,0.0,0.0,0.0,3.5605457,0.0,0.0,3.7751825,0.0,3.1454573,0.0,0.0,2.739174,0.0,0.0,0.0,0.0,0.0,3.2124636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7501845,1
1.582876,0.23241456,0.0,0.0,0.0,1.1926054,0.0,1.7461913,1.5412316,0.7609546,0.93856794,0.0,0.9801778,0.90525734,0.0,0.0,1.2743196,0.9971336,0.0,0.0,1.4017491,0.0,0.4146229,1.2740479,0.0,0.0,0.0,1.5005356,0.0,0.0,1.1326052,0.0,1.4348928,0.0,0.0,1.6288103,1.5381097,0.0,0.021816107,1.3411738,1.3958812,0.0,1.5571517,1.3544723,0.0,1.3990722,0.0,1.1389781,1.1627911,0.0,1.4578077,1.1152761,0.0,1.0231854,1.6969182,0.0,1.2038774,1.5020144,1.6946266,0.0,0.0,1.4010326,1.2611772,0.0,0
1.7738502,0.32986796,0.0,0.0,0.0,1.4981896,0.0,2.071932,1.7130023,0.9873767,1.0807472,0.0,1.0781248,1.0896869,0.0,0.0,1.273376,0.98308885,0.0,0.0,1.6718632,0.0,0.3373784,1.5454122,0.0,0.0,0.0,1.7902147,0.0,0.0,1.4625635,0.0,1.5145228,0.0,0.0,1.9781659,1.5451344,0.0,0.0,1.5068733,1.7502893,0.0,1.485004,1.6265119,0.0,1.680522,0.0,1.2034184,1.1442407,0.0,1.7140728,1.0615356,0.0,1.2971951,1.9531996,0.0,1.0739905,1.6966927,1.9748652,0.0,0.0,1.5498606,1.578347,0.0,0
2.1752868,0.0,0.0,0.0,0.0,1.7374464,0.0,2.274678,1.7871693,0.60749453,1.4415036,0.0,1.2396775,1.1230261,0.0,0.0,1.9216981,1.2557497,0.0,0.0,2.0382855,0.0,0.18691933,1.5530928,0.16109882,0.0,0.0,2.3657677,0.0,0.0,1.4225526,0.21754599,1.573541,0.0,0.0,2.119685,2.0410666,0.0,0.0,1.726146,1.7940778,0.09275941,2.4137046,1.8771406,0.0,2.3567355,0.0,1.4557351,0.6762586,0.0,2.0153227,1.3484482,0.0,1.382579,2.534554,0.0,1.7658566,1.9291487,2.1225388,0.0,0.0,1.8776484,1.3992972,0.0,0
2.138187,0.0,0.0,0.0,0.0,1.7271553,0.0,2.246639,1.7839767,0.79978955,1.3924489,0.0,1.1645236,1.0953887,0.0,0.0,1.594507,1.3830122,0.0,0.0,1.9910429,0.0,0.39392263,1.2296572,0.054093484,0.0,0.0,2.017367,0.0,0.0,1.4460143,0.07822127,1.5878464,0.0,0.0,2.2224908,1.9264185,0.0,0.0,1.7311002,1.7174208,0.0,2.0532677,1.94388,0.0,1.8735279,0.0,1.4367107,0.98366505,0.0,1.6520501,1.4861704,0.0,1.5079689,2.012209,0.0,1.6145087,1.8673178,2.0826883,0.0,0.0023444062,1.7387747,1.6034263,0.0,0
1.6824456,0.0,0.0,0.0,0.0,1.4923965,0.0,1.6719495,1.358996,0.44651446,0.9748278,0.0,1.0584038,0.93613887,0.0,0.0,1.3244495,1.10165,0.0,0.0,1.8304219,0.0,0.0,1.2241971,0.1664802,0.0,0.0,1.8172708,0.0,0.0,0.9611006,0.31579494,1.0606164,0.0,0.0,1.5859526,1.6334056,0.0,0.0,1.2691792,1.4523178,0.16747437,1.6869478,1.4014553,0.0,1.7654163,0.0,1.0841583,0.34905183,0.0,1.511346,0.99318796,0.0,1.2523799,1.8419046,0.0,1.2332177,1.4409112,1.926485,0.0,0.06435966,1.712464,1.0189565,0.0,0
1.5053623,0.838019,0.0,0.0,0.0,1.1414769,0.0,2.1182253,1.5988938,1.367299,1.0704831,0.0,1.192888,1.2565055,0.0,0.0,1.504312,0.7811707,0.0,0.0,1.2552286,0.0,0.83628327,1.0431267,0.01665767,0.0,0.0,1.0564641,0.0,0.0,1.7806202,0.0,1.6557971,0.0,0.0,2.5200706,1.180111,0.0,0.0,1.3353467,1.7446058,0.0,1.293872,1.8856553,0.0,1.3279085,0.0,1.4658016,1.5967895,0.0,1.3713496,1.133348,0.0,1.0010326,1.3209608,0.0,0.91656345,1.3253114,1.3934137,0.40731445,0.0,1.2729374,1.7697963,0.0,0
1.0266364,0.11563853,0.0,0.107042424,0.0,1.0990112,0.0,1.34756,0.9757997,0.75144315,0.7507703,0.06561993,0.71292055,0.523915,0.0,0.0,0.86242205,0.6856599,0.0,0.0,1.1359681,0.0,0.3961997,0.97453743,0.09291516,0.0,0.0,1.0811737,0.0,0.0,0.89146197,0.0,0.97416043,0.0,0.0,1.2316884,0.93016756,0.0,0.0,1.0728275,1.1702607,0.0641325,0.93027633,1.0693281,0.0,0.8800025,0.0,0.8468207,0.79624003,0.0,0.9216439,0.5877084,0.0,0.6821823,1.3150617,0.0,0.6972841,0.96425045,1.2548367,0.0,0.0,0.9125461,1.1723683,0.0,0
0.0,0.0,1.9780354,0.7494835,0.0,0.0,1.5019306,0.0,0.0,0.0,0.0,1.5904162,0.0,0.0,1.7645459,1.2593929,0.0,0.0,1.3310833,1.644815,0.0,1.2542479,0.0,0.0,1.7148004,1.5759917,1.9305253,0.0,1.5038261,1.2894073,0.0,0.8096721,0.0,2.4328125,1.5076,0.0,0.0,1.4723899,0.0,0.0,0.0,1.6740406,0.0,0.0,1.7346187,0.0,1.6260797,0.0,0.0,1.0768749,0.0,0.0,0.0,0.0,0.0,1.337414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4877257,1
0.0,0.0,3.0296867,1.4528022,0.0,0.0,2.4124882,0.0,0.0,0.0,0.0,2.69361,0.0,0.0,3.0844173,1.8428036,0.0,0.0,2.3835633,2.2356803,0.0,2.4214127,0.0,0.0,2.2033074,2.3109603,3.4673464,0.0,2.2904909,1.7837272,0.0,1.8945549,0.0,3.4766688,2.3762155,0.0,0.0,2.0715952,0.0,0.0,0.0,2.9435282,0.0,0.0,2.78042,0.0,2.4136765,0.0,0.0,2.0929654,0.0,0.0,0.0,0.0,0.0,2.3266113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.195018,1
